Date,Time,Outlet_Name,Outlet_Location,Total_Price
23/02/2023,23:34,Outlet A,," Rp 1,897,000 "
23/02/2023,23:34,Outlet A,," Rp 1,897,000 "
23/02/2023,23:34,Outlet A,," Rp 1,897,000 "
23/02/2023,23:34,Outlet A,," Rp 1,897,000 "
23/02/2023,21:42,Outlet C,Location A," Rp 35,000 "
23/02/2023,21:42,Outlet D,Location A," Rp 30,000 "
23/02/2023,21:41,Outlet C,Location A," Rp 35,000 "
23/02/2023,21:38,Outlet E,Location A," Rp 22,200 "
23/02/2023,21:37,Outlet F,," Rp 40,000 "
23/02/2023,21:37,Outlet G,," Rp 556,699 "
23/02/2023,21:37,Outlet H,," Rp 60,000 "
23/02/2023,21:35,Outlet B,," Rp 429,200 "
23/02/2023,21:35,Outlet B,," Rp 429,200 "
23/02/2023,21:35,Outlet B,," Rp 429,200 "
23/02/2023,21:35,Outlet B,," Rp 429,200 "
23/02/2023,21:35,Outlet B,," Rp 429,200 "
23/02/2023,21:35,Outlet B,," Rp 429,200 "
23/02/2023,21:35,Outlet B,," Rp 429,200 "
23/02/2023,21:34,Outlet B,," Rp 113,500 "
23/02/2023,21:34,Outlet B,," Rp 113,500 "
23/02/2023,21:34,Outlet I,," Rp 39,000 "
23/02/2023,21:33,Outlet B,," Rp 592,400 "
23/02/2023,21:33,Outlet B,," Rp 592,400 "
23/02/2023,21:33,Outlet B,," Rp 592,400 "
23/02/2023,21:33,Outlet B,," Rp 592,400 "
23/02/2023,21:33,Outlet B,," Rp 592,400 "
23/02/2023,21:33,Outlet B,," Rp 592,400 "
23/02/2023,21:33,Outlet B,," Rp 592,400 "
23/02/2023,21:33,Outlet B,," Rp 592,400 "
23/02/2023,21:33,Outlet B,," Rp 592,400 "
23/02/2023,21:33,Outlet B,," Rp 592,400 "
23/02/2023,21:33,Outlet J,," Rp 135,000 "
23/02/2023,21:33,Outlet K,," Rp 9,500 "
23/02/2023,21:27,Outlet K,," Rp 19,000 "
23/02/2023,21:27,Outlet I,," Rp 33,000 "
23/02/2023,21:26,Outlet G,," Rp 28,300 "
23/02/2023,21:26,Outlet L,," Rp 43,000 "
23/02/2023,21:24,Outlet M,," Rp 36,000 "
23/02/2023,21:23,Outlet N,," Rp 50,000 "
23/02/2023,21:22,Outlet O,," Rp 110,000 "
23/02/2023,21:22,Outlet O,," Rp 110,000 "
23/02/2023,21:22,Outlet I,," Rp 33,000 "
23/02/2023,21:21,Outlet P,," Rp 75,000 "
23/02/2023,21:21,Outlet Q,," Rp 46,000 "
23/02/2023,21:21,Outlet F,," Rp 40,000 "
23/02/2023,21:20,Outlet G,," Rp 232,600 "
23/02/2023,21:20,Outlet S,," Rp 123,750 "
23/02/2023,21:19,Outlet D,Location A," Rp 20,000 "
23/02/2023,21:18,Outlet T,," Rp 44,000 "
23/02/2023,21:18,Outlet Q,," Rp 23,000 "
23/02/2023,21:17,Outlet R,," Rp 39,500 "
23/02/2023,21:16,Outlet Q,," Rp 52,000 "
23/02/2023,21:16,Outlet R,," Rp 39,500 "
23/02/2023,21:16,Outlet M,," Rp 39,000 "
23/02/2023,21:14,Outlet J,," Rp 135,000 "
23/02/2023,21:13,Outlet Q,," Rp 23,000 "
23/02/2023,21:11,Outlet U,," Rp 74,999 "
23/02/2023,21:09,Outlet U,," Rp 74,999 "
23/02/2023,21:09,Outlet F,," Rp 50,000 "
23/02/2023,21:09,Outlet I,," Rp 26,000 "
23/02/2023,21:07,Outlet V,," Rp 1,000,450 "
23/02/2023,21:07,Outlet T,," Rp 44,000 "
23/02/2023,21:04,Outlet W,,
23/02/2023,21:03,Outlet W,,
23/02/2023,21:03,Outlet W,,
23/02/2023,21:03,Outlet X,," Rp 79,200 "
23/02/2023,21:01,Outlet W,,
23/02/2023,21:01,Outlet Y,," Rp 49,087 "
23/02/2023,21:00,Outlet K,," Rp 27,000 "
23/02/2023,21:00,Outlet K,," Rp 27,000 "
23/02/2023,20:59,Outlet G,," Rp 151,800 "
23/02/2023,20:58,Outlet Z,," Rp 717,100 "
23/02/2023,20:58,Outlet Q,," Rp 52,000 "
23/02/2023,20:57,Outlet G,," Rp 235,400 "
23/02/2023,20:57,Outlet V,," Rp 1,033,406 "
23/02/2023,20:57,Outlet B,," Rp 324,000 "
23/02/2023,20:57,Outlet B,," Rp 324,000 "
23/02/2023,20:57,Outlet B,," Rp 324,000 "
23/02/2023,20:57,Outlet B,," Rp 324,000 "
23/02/2023,20:57,Outlet B,," Rp 324,000 "
23/02/2023,20:57,Outlet B,," Rp 324,000 "
23/02/2023,20:57,Outlet B,," Rp 324,000 "
23/02/2023,20:57,Outlet Y,," Rp 17,325 "
23/02/2023,20:56,Outlet AA,Location B," Rp 24,900 "
23/02/2023,20:56,Outlet R,," Rp 34,000 "
23/02/2023,20:55,Outlet B,," Rp 296,800 "
23/02/2023,20:55,Outlet B,," Rp 296,800 "
23/02/2023,20:55,Outlet B,," Rp 296,800 "
23/02/2023,20:55,Outlet B,," Rp 296,800 "
23/02/2023,20:55,Outlet B,," Rp 296,800 "
23/02/2023,20:55,Outlet B,," Rp 296,800 "
23/02/2023,20:55,Outlet V,," Rp 859,210 "
23/02/2023,20:54,Outlet D,Location A," Rp 10,000 "
23/02/2023,20:54,Outlet R,," Rp 17,000 "
23/02/2023,20:54,Outlet AA,Location B," Rp 45,000 "
23/02/2023,20:54,Outlet AA,Location B," Rp 45,000 "
23/02/2023,20:54,Outlet Y,," Rp 17,325 "
23/02/2023,20:54,Outlet V,," Rp 2,185,671 "
23/02/2023,20:53,Outlet I,," Rp 74,000 "
23/02/2023,20:53,Outlet I,," Rp 74,000 "
23/02/2023,20:53,Outlet S,," Rp 123,750 "
23/02/2023,20:52,Outlet T,," Rp 32,000 "
23/02/2023,20:52,Outlet AB,," Rp 55,000 "
23/02/2023,20:52,Outlet B,," Rp 663,400 "
23/02/2023,20:52,Outlet B,," Rp 663,400 "
23/02/2023,20:52,Outlet B,," Rp 663,400 "
23/02/2023,20:52,Outlet B,," Rp 663,400 "
23/02/2023,20:52,Outlet B,," Rp 663,400 "
23/02/2023,20:52,Outlet B,," Rp 663,400 "
23/02/2023,20:52,Outlet B,," Rp 663,400 "
23/02/2023,20:52,Outlet B,," Rp 663,400 "
